Id,Tipo,Especialidad, Puntuacion 
87,Clinica,Dermatologists, 9.9 
88,Hospital,Dermatologists, 8.0 
89,ONG,General Medicine, 9.4 
90,Otro,Ayurveda, 8.0 
91,Medico,Dermatologists, 8.0 
92,Especialista,Ayurveda, 8.0 
93,Clinica,Dentist, 8.0 
94,Hospital,Dentist, 10.0 
95,ONG,Homeopath, 10.0 
96,Otro,Dermatologists, 10.0 
97,Medico,Dermatologists, 9.7 
98,Especialista,Ayurveda, 8.0 
99,Clinica,Dentist, 8.0 
100,Hospital,Homeopath, 9.8 
101,ONG,Dentist, 8.0 
102,Otro,Dentist, 10.0 
103,Medico,Dentist, 9.9 
104,Especialista,Dentist, 10.0 
105,Clinica,General Medicine, 9.8 
106,Hospital,ENT Specialist, 8.0 
107,ONG,Dentist, 9.0 
108,Otro,Ayurveda, 8.0 
109,Medico,Dentist, 10.0 
110,Especialista,General Medicine, 8.0 
111,Clinica,Ayurveda, 8.0 
112,Hospital,Dermatologists, 9.6 
113,ONG,Dentist, 9.0 
114,Otro,Dentist, 10.0 
115,Medico,General Medicine, 10.0 
116,Especialista,Dentist, 8.0 
117,Clinica,Dermatologists, 8.0 
118,Hospital,Dentist, 9.5 
119,ONG,Ayurveda, 8.0 
120,Otro,Ayurveda, 8.0 
121,Medico,Homeopath, 8.0 
122,Especialista,Homeopath, 8.0 
123,Clinica,Homeopath, 8.0 
124,Hospital,ENT Specialist, 8.2 
125,ONG,Dermatologists, 8.0 
126,Otro,General Medicine, 9.5 
127,Medico,Dentist, 8.0 
128,Especialista,General Medicine, 10.0 
129,Clinica,ENT Specialist, 8.0 
130,Hospital,Dermatologists, 8.0 
131,ONG,Dermatologists, 9.0 
132,Otro,Dentist, 8.0 
133,Medico,Homeopath, 9.8 
134,Especialista,Dermatologists, 10.0 
135,Clinica,General Medicine, 8.0 
136,Hospital,Dermatologists, 8.0 
137,ONG,Dermatologists, 8.0 
138,Otro,General Medicine, 8.9 
139,Medico,General Medicine, 8.9 
140,Especialista,ENT Specialist, 10.0 
141,Clinica,General Medicine, 7.4 
142,Hospital,ENT Specialist, 9.6 
143,ONG,ENT Specialist, 8.6 
144,Otro,Homeopath, 10.0 
145,Medico,ENT Specialist, 8.0 
146,Especialista,Dermatologists, 10.0 
147,Clinica,ENT Specialist, 8.9 
148,Hospital,General Medicine, 8.0 
149,ONG,Dentist, 8.0 
150,Otro,Homeopath, 9.2 
151,Medico,Dentist, 9.9 
152,Especialista,Ayurveda, 10.0 
153,Clinica,Homeopath, 10.0 
154,Hospital,Ayurveda, 8.0 
155,ONG,Homeopath, 8.0 
156,Otro,ENT Specialist, 10.0 
157,Medico,Dentist, 9.5 
158,Especialista,Dentist, 8.0 
159,Clinica,ENT Specialist, 10.0 
160,Hospital,General Medicine, 10.0 
161,ONG,Dentist, 9.5 
162,Otro,Ayurveda, 9.4 
163,Medico,Dentist, 8.0 
164,Especialista,Dermatologists, 9.9 
165,Clinica,Dermatologists, 8.0 
166,Hospital,Dentist, 9.6 
167,ONG,Dentist, 8.0 
168,Otro,Ayurveda, 8.0 
169,Medico,General Medicine, 8.0 
170,Especialista,General Medicine, 9.5 
171,Clinica,Homeopath, 8.3 
172,Hospital,Ayurveda, 10.0 
173,ONG,ENT Specialist, 8.0 
174,Otro,Dentist, 9.6 
175,Medico,Homeopath, 9.3 
176,Especialista,Dentist, 10.0 
177,Clinica,General Medicine, 9.8 
178,Hospital,Dermatologists, 8.8 
179,ONG,Ayurveda, 7.6 
180,Otro,General Medicine, 8.0 
181,Medico,Ayurveda, 8.0 
182,Especialista,Homeopath, 8.0 
183,Clinica,General Medicine, 8.0 
184,Hospital,General Medicine, 9.2 
185,ONG,Dentist, 8.5 
186,Otro,Dentist, 8.0 
187,Medico,Dermatologists, 10.0 
188,Especialista,ENT Specialist, 8.0 
189,Clinica,Dermatologists, 9.2 
190,Hospital,General Medicine, 8.0 
191,ONG,Dentist, 8.0 
192,Otro,Homeopath, 9.5 
193,Medico,Dermatologists, 8.0 
194,Especialista,Ayurveda, 8.0 
195,Clinica,ENT Specialist, 8.0 
196,Hospital,Dermatologists, 9.5 
197,ONG,Dentist, 9.6 
198,Otro,Homeopath, 8.0 
199,Medico,Ayurveda, 8.0 
200,Especialista,Ayurveda, 8.0 
201,Clinica,Ayurveda, 8.0 
202,Hospital,ENT Specialist, 8.0 
203,ONG,Ayurveda, 8.0 
204,Otro,ENT Specialist, 8.0 
205,Medico,Dentist, 9.7 
206,Especialista,Dentist, 8.0 
207,Clinica,Dermatologists, 9.8 
208,Hospital,General Medicine, 8.0 
209,ONG,General Medicine, 8.0 
210,Otro,Dentist, 5.6 
211,Medico,Dentist, 9.6 
212,Especialista,Dermatologists, 8.0 
213,Clinica,ENT Specialist, 9.7 
214,Hospital,Ayurveda, 8.0 
215,ONG,Homeopath, 8.0 
216,Otro,Dermatologists, 8.0 
217,Medico,Homeopath, 8.0 
218,Especialista,General Medicine, 8.0 
219,Clinica,Homeopath, 8.0 
220,Hospital,Dentist, 10.0 
221,ONG,ENT Specialist, 9.9 
222,Otro,Dermatologists, 9.3 
223,Medico,Dentist, 10.0 
224,Especialista,Homeopath, 8.0 
225,Clinica,General Medicine, 8.0 
226,Hospital,Homeopath, 9.9 
227,ONG,Dentist, 8.0 
228,Otro,General Medicine, 8.0 
229,Medico,Homeopath, 8.0 
230,Especialista,Dentist, 8.0 
231,Clinica,Homeopath, 8.0 
232,Hospital,Homeopath, 8.0 
233,ONG,Ayurveda, 8.0 
234,Otro,ENT Specialist, 8.0 
235,Medico,Dentist, 8.0 
236,Especialista,General Medicine, 9.5 
237,Clinica,ENT Specialist, 8.0 
238,Hospital,Dermatologists, 9.8 
239,ONG,Dermatologists, 8.0 
240,Otro,Dentist, 9.4 
241,Medico,General Medicine, 9.8 
242,Especialista,Dentist, 8.0 
243,Clinica,General Medicine, 9.7 
244,Hospital,General Medicine, 8.0 
245,ONG,Dentist, 8.0 
246,Otro,Homeopath, 9.9 
247,Medico,ENT Specialist, 9.7 
248,Especialista,Ayurveda, 9.9 
249,Clinica,Homeopath, 10.0 
250,Hospital,Homeopath, 8.0 
251,ONG,ENT Specialist, 8.0 
252,Otro,General Medicine, 8.0 
253,Medico,Dermatologists, 8.0 
254,Especialista,General Medicine, 9.4 
255,Clinica,Dentist, 8.0 
256,Hospital,Homeopath, 8.0 
257,ONG,ENT Specialist, 8.0 
258,Otro,General Medicine, 8.0 
259,Medico,Homeopath, 9.3 
260,Especialista,ENT Specialist, 10.0 
261,Clinica,General Medicine, 8.0 
262,Hospital,ENT Specialist, 9.8 
263,ONG,General Medicine, 8.0 
264,Otro,ENT Specialist, 10.0 
265,Medico,Dermatologists, 8.0 
266,Especialista,Dentist, 10.0 
267,Clinica,General Medicine, 9.9 
268,Hospital,Dermatologists, 9.3 
269,ONG,Dentist, 10.0 
270,Otro,Homeopath, 9.7 
271,Medico,Dentist, 10.0 
272,Especialista,ENT Specialist, 8.0 
273,Clinica,Homeopath, 9.0 
274,Hospital,Dentist, 8.0 
275,ONG,Dermatologists, 9.9 
276,Otro,Dermatologists, 8.0 
277,Medico,Homeopath, 9.6 
278,Especialista,Dermatologists, 8.0 
279,Clinica,Homeopath, 8.0 
280,Hospital,Dentist, 9.6 
281,ONG,ENT Specialist, 10.0 
282,Otro,ENT Specialist, 8.0 
283,Medico,General Medicine, 9.3 
284,Especialista,General Medicine, 8.0 
285,Clinica,General Medicine, 10.0 
286,Hospital,Homeopath, 9.4 
287,ONG,Ayurveda, 8.0 
288,Otro,Dermatologists, 8.0 
289,Medico,General Medicine, 9.7 
290,Especialista,Dentist, 8.0 
291,Clinica,Dentist, 8.0 
292,Hospital,ENT Specialist, 9.4 
293,ONG,General Medicine, 8.0 
294,Otro,Ayurveda, 10.0 
295,Medico,Dermatologists, 8.0 
296,Especialista,Dentist, 8.0 
297,Clinica,Dentist, 10.0 
298,Hospital,Dermatologists, 8.0 
299,ONG,Homeopath, 8.0 
300,Otro,Dermatologists, 8.0 
301,Medico,Ayurveda, 9.7 
302,Especialista,Ayurveda, 8.0 
303,Clinica,Ayurveda, 9.9 
304,Hospital,General Medicine, 8.0 
305,ONG,Ayurveda, 8.0 
306,Otro,General Medicine, 8.0 
307,Medico,Dentist, 8.0 
308,Especialista,Homeopath, 10.0 
309,Clinica,ENT Specialist, 8.0 
310,Hospital,Dentist, 5.6 
311,ONG,General Medicine, 9.5 
312,Otro,Ayurveda, 8.0 
313,Medico,Homeopath, 8.0 
314,Especialista,Ayurveda, 8.0 
315,Clinica,ENT Specialist, 8.0 
316,Hospital,Dentist, 8.0 
317,ONG,Homeopath, 8.0 
318,Otro,General Medicine, 8.0 
319,Medico,ENT Specialist, 8.0 
320,Especialista,Homeopath, 8.0 
321,Clinica,General Medicine, 8.0 
322,Hospital,Dermatologists, 9.5 
323,ONG,Dentist, 8.0 
324,Otro,Ayurveda, 10.0 
325,Medico,General Medicine, 9.5 
326,Especialista,Homeopath, 8.0 
327,Clinica,General Medicine, 8.0 
328,Hospital,Dentist, 9.2 
329,ONG,ENT Specialist, 10.0 
330,Otro,Dermatologists, 8.0 
331,Medico,General Medicine, 8.8 
332,Especialista,ENT Specialist, 8.0 
333,Clinica,Dermatologists, 8.0 
334,Hospital,Homeopath, 6.8 
335,ONG,Dermatologists, 10.0 
336,Otro,General Medicine, 8.0 
337,Medico,ENT Specialist, 8.0 
338,Especialista,Dentist, 8.0 
339,Clinica,Homeopath, 9.9 
340,Hospital,Dentist, 10.0 
341,ONG,ENT Specialist, 8.0 
342,Otro,Ayurveda, 8.0 
343,Medico,Homeopath, 8.0 
344,Especialista,General Medicine, 8.0 
345,Clinica,ENT Specialist, 8.0 
346,Hospital,Dermatologists, 9.4 
347,ONG,General Medicine, 9.0 
348,Otro,Ayurveda, 8.0 
349,Medico,Dermatologists, 8.0 
350,Especialista,Dermatologists, 9.8 
351,Clinica,Dentist, 9.6 
352,Hospital,Dermatologists, 8.0 
353,ONG,General Medicine, 8.0 
354,Otro,General Medicine, 8.0 
355,Medico,Dentist, 8.0 
356,Especialista,Homeopath, 9.9 
357,Clinica,Ayurveda, 8.0 
358,Hospital,Ayurveda, 8.0 
359,ONG,Homeopath, 8.0 
360,Otro,Dentist, 8.0 
361,Medico,Dermatologists, 8.0 
362,Especialista,Dentist, 8.0 
363,Clinica,Dentist, 9.6 
364,Hospital,Dentist, 8.0 
365,ONG,Dermatologists, 10.0 
366,Otro,Homeopath, 8.0 
367,Medico,Dermatologists, 10.0 
368,Especialista,ENT Specialist, 9.8 
369,Clinica,General Medicine, 8.0 
370,Hospital,Dermatologists, 8.0 
371,ONG,Dentist, 8.0 
372,Otro,ENT Specialist, 9.7 
373,Medico,Ayurveda, 8.0 
374,Especialista,Ayurveda, 8.0 
375,Clinica,Ayurveda, 9.6 
376,Hospital,General Medicine, 8.0 
377,ONG,ENT Specialist, 8.0 
378,Otro,Ayurveda, 0.6 
379,Medico,Dentist, 8.0 
380,Especialista,ENT Specialist, 8.0 
381,Clinica,Ayurveda, 8.0 
382,Hospital,Homeopath, 8.0 
383,ONG,Dentist, 8.0 
384,Otro,Homeopath, 8.0 
385,Medico,Dermatologists, 10.0 
386,Especialista,Dermatologists, 8.0 
387,Clinica,Dentist, 8.0 
388,Hospital,General Medicine, 8.0 
389,ONG,General Medicine, 8.8 
390,Otro,General Medicine, 8.0 
391,Medico,General Medicine, 8.0 
392,Especialista,General Medicine, 8.0 
393,Clinica,ENT Specialist, 8.0 
394,Hospital,Dermatologists, 8.5 
395,ONG,Ayurveda, 8.0 
396,Otro,Dermatologists, 8.0 
397,Medico,General Medicine, 8.0 
398,Especialista,Ayurveda, 10.0 
399,Clinica,Dentist, 8.0 
400,Hospital,Ayurveda, 9.8 
401,ONG,Dentist, 10.0 
402,Otro,Dentist, 9.8 
403,Medico,Homeopath, 8.0 
404,Especialista,Ayurveda, 8.0 
405,Clinica,General Medicine, 8.0 
406,Hospital,Dermatologists, 10.0 
407,ONG,Homeopath, 9.6 
408,Otro,Ayurveda, 8.0 
409,Medico,Dentist, 8.0 
410,Especialista,Dentist, 8.0 
411,Clinica,ENT Specialist, 9.3 
412,Hospital,Dentist, 8.0 
413,ONG,Dentist, 9.8 
414,Otro,ENT Specialist, 9.6 
415,Medico,Dermatologists, 8.3 
416,Especialista,Ayurveda, 8.5 
417,Clinica,Dermatologists, 8.0 
418,Hospital,General Medicine, 10.0 
419,ONG,Dermatologists, 8.0 
420,Otro,General Medicine, 10.0 
421,Medico,Homeopath, 8.0 
422,Especialista,Dentist, 8.0 
423,Clinica,Dermatologists, 10.0 
424,Hospital,General Medicine, 8.0 
425,ONG,General Medicine, 8.0 
426,Otro,Ayurveda, 8.5 
427,Medico,General Medicine, 10.0 
428,Especialista,Dermatologists, 8.0 
429,Clinica,General Medicine, 9.7 
430,Hospital,Dentist, 9.3 
431,ONG,Dermatologists, 8.0 
432,Otro,General Medicine, 10.0 
433,Medico,Dermatologists, 9.7 
434,Especialista,Dentist, 9.7 
435,Clinica,Dentist, 9.6 
436,Hospital,Ayurveda, 9.7 
437,ONG,General Medicine, 10.0 
438,Otro,ENT Specialist, 8.0 
439,Medico,Dermatologists, 8.0 
440,Especialista,Dentist, 8.0 
441,Clinica,General Medicine, 10.0 
442,Hospital,Dentist, 8.0 
443,ONG,Ayurveda, 9.0 
444,Otro,Homeopath, 8.0 
445,Medico,ENT Specialist, 8.0 
446,Especialista,General Medicine, 9.9 
447,Clinica,Homeopath, 8.0 
448,Hospital,Dentist, 8.0 
449,ONG,General Medicine, 10.0 
450,Otro,General Medicine, 8.0 
451,Medico,General Medicine, 10.0 
452,Especialista,Dentist, 9.8 
453,Clinica,General Medicine, 8.0 
454,Hospital,General Medicine, 8.0 
455,ONG,Ayurveda, 8.0 
456,Otro,General Medicine, 8.8 
457,Medico,Dentist, 10.0 
458,Especialista,Dentist, 9.6 
459,Clinica,ENT Specialist, 0.8 
460,Hospital,Dentist, 8.0 
461,ONG,ENT Specialist, 9.5 
462,Otro,General Medicine, 8.0 
463,Medico,General Medicine, 8.0 
464,Especialista,General Medicine, 10.0 
465,Clinica,Dermatologists, 8.0 
466,Hospital,Dentist, 0.7 
467,ONG,Dentist, 9.8 
468,Otro,Dentist, 9.7 
469,Medico,General Medicine, 8.0 
470,Especialista,General Medicine, 8.0 
471,Clinica,Dermatologists, 8.0 
472,Hospital,Dermatologists, 9.2 
473,ONG,Dentist, 9.3 
474,Otro,Homeopath, 8.0 
475,Medico,Ayurveda, 8.0 
476,Especialista,Homeopath, 8.0 
477,Clinica,Dentist, 8.0 
478,Hospital,Dermatologists, 9.9 
479,ONG,Ayurveda, 9.5 
480,Otro,General Medicine, 8.0 
481,Medico,Ayurveda, 8.0 
482,Especialista,ENT Specialist, 8.0 
483,Clinica,Dermatologists, 8.0 
484,Hospital,Dentist, 8.0 
485,ONG,Ayurveda, 8.0 
486,Otro,Homeopath, 8.0 
487,Medico,Homeopath, 8.0 
488,Especialista,Homeopath, 9.4 
489,Clinica,Homeopath, 10.0 
490,Hospital,General Medicine, 9.8 
491,ONG,Dentist, 8.0 
492,Otro,General Medicine, 9.4 
493,Medico,Dentist, 8.0 
494,Especialista,Homeopath, 9.7 
495,Clinica,Dentist, 8.0 
496,Hospital,Dentist, 8.0 
497,ONG,ENT Specialist, 10.0 
498,Otro,Ayurveda, 8.0 
499,Medico,Dentist, 8.0 
500,Especialista,Homeopath, 8.0 
501,Clinica,General Medicine, 8.0 
502,Hospital,Dermatologists, 8.0 
503,ONG,ENT Specialist, 8.0 
504,Otro,ENT Specialist, 8.0 
505,Medico,General Medicine, 8.0 
506,Especialista,Dentist, 10.0 
507,Clinica,Dermatologists, 8.0 
508,Hospital,Dermatologists, 10.0 
509,ONG,Ayurveda, 9.5 
510,Otro,Dentist, 8.0 
511,Medico,General Medicine, 8.0 
512,Especialista,Homeopath, 8.0 
513,Clinica,Homeopath, 9.7 
514,Hospital,Ayurveda, 8.0 
515,ONG,General Medicine, 8.0 
516,Otro,Dentist, 8.0 
517,Medico,Homeopath, 8.0 
518,Especialista,General Medicine, 8.0 
519,Clinica,Dentist, 8.0 
520,Hospital,ENT Specialist, 8.0 
521,ONG,Dentist, 8.0 
522,Otro,Homeopath, 8.0 
523,Medico,Homeopath, 8.0 
524,Especialista,ENT Specialist, 8.0 
525,Clinica,General Medicine, 8.0 
526,Hospital,Dermatologists, 8.0 
527,ONG,Dentist, 8.0 
528,Otro,General Medicine, 9.7 
529,Medico,ENT Specialist, 8.0 
530,Especialista,Dermatologists, 9.3 
531,Clinica,Dentist, 8.0 
532,Hospital,Dentist, 10.0 
533,ONG,General Medicine, 9.5 
534,Otro,General Medicine, 9.3 
535,Medico,ENT Specialist, 8.0 
536,Especialista,Dermatologists, 8.0 
537,Clinica,Dermatologists, 8.0 
538,Hospital,Dentist, 8.0 
539,ONG,ENT Specialist, 9.9 
540,Otro,Homeopath, 8.0 
541,Medico,Dentist, 8.0 
542,Especialista,Dentist, 10.0 
543,Clinica,Ayurveda, 9.8 
544,Hospital,Dermatologists, 8.0 
545,ONG,Dentist, 9.6 
546,Otro,Ayurveda, 9.8 
547,Medico,Dermatologists, 10.0 
548,Especialista,ENT Specialist, 8.0 
549,Clinica,Ayurveda, 9.8 
550,Hospital,General Medicine, 9.6 
551,ONG,Homeopath, 8.0 
552,Otro,Dentist, 8.0 
553,Medico,Ayurveda, 9.7 
554,Especialista,Dermatologists, 8.0 
555,Clinica,Dentist, 9.5 
556,Hospital,ENT Specialist, 8.0 
557,ONG,General Medicine, 8.0 
558,Otro,General Medicine, 9.4 
559,Medico,Dentist, 8.0 
560,Especialista,Dermatologists, 9.2 
561,Clinica,General Medicine, 10.0 
562,Hospital,ENT Specialist, 8.0 
563,ONG,Ayurveda, 9.5 
564,Otro,Dermatologists, 8.0 
565,Medico,General Medicine, 8.0 
566,Especialista,Dermatologists, 8.0 
567,Clinica,Ayurveda, 8.0 
568,Hospital,Dermatologists, 8.0 
569,ONG,Homeopath, 9.9 
570,Otro,ENT Specialist, 8.0 
571,Medico,Dentist, 8.0 
572,Especialista,Homeopath, 10.0 
573,Clinica,Homeopath, 8.0 
574,Hospital,Dermatologists, 9.3 
575,ONG,Homeopath, 9.6 
576,Otro,Dentist, 8.0 
577,Medico,General Medicine, 8.0 
578,Especialista,Dentist, 8.0 
579,Clinica,ENT Specialist, 8.0 
580,Hospital,ENT Specialist, 9.2 
581,ONG,Dentist, 8.0 
582,Otro,Dentist, 8.0 
583,Medico,Homeopath, 8.0 
584,Especialista,General Medicine, 8.0 
585,Clinica,General Medicine, 8.0 
586,Hospital,Dentist, 0.7 
587,ONG,Dentist, 8.0 
588,Otro,ENT Specialist, 9.4 
589,Medico,ENT Specialist, 8.0 
590,Especialista,General Medicine, 8.0 
591,Clinica,General Medicine, 0.7 
592,Hospital,Dentist, 10.0 
593,ONG,Ayurveda, 9.8 
594,Otro,Dentist, 8.0 
595,Medico,Dermatologists, 10.0 
596,Especialista,General Medicine, 8.0 
597,Clinica,General Medicine, 8.0 
598,Hospital,General Medicine, 9.6 
599,ONG,Dermatologists, 8.0 
600,Otro,Ayurveda, 8.0 
601,Medico,Dermatologists, 8.0 
602,Especialista,Homeopath, 10.0 
603,Clinica,Dentist, 8.0 
604,Hospital,Dentist, 8.0 
605,ONG,Dermatologists, 9.6 
606,Otro,General Medicine, 8.0 
607,Medico,Ayurveda, 8.0 
608,Especialista,General Medicine, 8.0 
609,Clinica,Dentist, 8.0 
610,Hospital,Dentist, 10.0 
611,ONG,General Medicine, 8.0 
612,Otro,Homeopath, 8.0 
613,Medico,Ayurveda, 8.0 
614,Especialista,ENT Specialist, 8.0 
615,Clinica,Dentist, 8.0 
616,Hospital,Dermatologists, 8.0 
617,ONG,Dentist, 8.9 
618,Otro,Dermatologists, 9.8 
619,Medico,Homeopath, 9.6 
620,Especialista,Homeopath, 8.0 
621,Clinica,Dermatologists, 8.0 
622,Hospital,General Medicine, 8.0 
623,ONG,Dermatologists, 8.0 
624,Otro,Dentist, 8.0 
625,Medico,Dentist, 9.8 
626,Especialista,Dentist, 8.0 
627,Clinica,Homeopath, 8.0 
628,Hospital,ENT Specialist, 9.7 
629,ONG,Homeopath, 9.9 
630,Otro,Dentist, 9.9 
631,Medico,General Medicine, 10.0 
632,Especialista,Dermatologists, 8.0 
633,Clinica,Dentist, 0.8 
634,Hospital,Ayurveda, 9.8 
635,ONG,General Medicine, 8.0 
636,Otro,Dentist, 8.0 
637,Medico,Ayurveda, 9.6 
638,Especialista,Dentist, 9.6 
639,Clinica,General Medicine, 8.0 
640,Hospital,Ayurveda, 8.2 
641,ONG,ENT Specialist, 8.0 
642,Otro,Dentist, 8.0 
643,Medico,Dentist, 8.0 
644,Especialista,General Medicine, 10.0 
645,Clinica,Ayurveda, 9.5 
646,Hospital,Dentist, 9.5 
647,ONG,Dermatologists, 8.0 
648,Otro,Dermatologists, 8.0 
649,Medico,ENT Specialist, 10.0 
650,Especialista,General Medicine, 8.0 
651,Clinica,Ayurveda, 9.8 
652,Hospital,Homeopath, 9.8 
653,ONG,Dermatologists, 9.8 
654,Otro,ENT Specialist, 8.0 
655,Medico,Dermatologists, 8.0 
656,Especialista,ENT Specialist, 9.7 
657,Clinica,ENT Specialist, 8.0 
658,Hospital,General Medicine, 8.0 
659,ONG,Dentist, 9.8 
660,Otro,ENT Specialist, 8.0 
661,Medico,Dermatologists, 9.9 
662,Especialista,Dentist, 9.6 
663,Clinica,Homeopath, 10.0 
664,Hospital,Ayurveda, 8.0 
665,ONG,Dentist, 10.0 
666,Otro,Ayurveda, 9.9 
667,Medico,Dermatologists, 8.0 
668,Especialista,Dentist, 9.0 
669,Clinica,Ayurveda, 9.8 
670,Hospital,Dentist, 8.0 
671,ONG,Ayurveda, 10.0 
672,Otro,General Medicine, 9.8 
673,Medico,Homeopath, 8.0 
674,Especialista,Homeopath, 8.0 
675,Clinica,Ayurveda, 9.7 
676,Hospital,Ayurveda, 8.0 
677,ONG,Dentist, 9.8 
678,Otro,Dentist, 9.8 
679,Medico,Dentist, 9.6 
680,Especialista,Dermatologists, 10.0 
681,Clinica,Ayurveda, 10.0 
682,Hospital,Homeopath, 8.0 
683,ONG,Homeopath, 8.5 
684,Otro,General Medicine, 9.7 
685,Medico,Ayurveda, 8.0 
686,Especialista,Dentist, 8.0 
687,Clinica,Ayurveda, 8.0 
688,Hospital,General Medicine, 8.0 
689,ONG,General Medicine, 8.0 
690,Otro,General Medicine, 8.0 
691,Medico,Homeopath, 9.8 
692,Especialista,Dermatologists, 8.0 
693,Clinica,ENT Specialist, 0.3 
694,Hospital,Dentist, 8.0 
695,ONG,Homeopath, 10.0 
696,Otro,Dermatologists, 8.0 
697,Medico,Dermatologists, 8.5 
698,Especialista,Dentist, 9.3 
699,Clinica,Ayurveda, 10.0 
700,Hospital,Dentist, 8.0 
701,ONG,Dentist, 9.9 
702,Otro,Ayurveda, 9.8 
703,Medico,General Medicine, 8.0 
704,Especialista,Dentist, 8.0 
705,Clinica,Dermatologists, 8.0 
706,Hospital,General Medicine, 8.8 
707,ONG,General Medicine, 8.0 
708,Otro,Ayurveda, 9.7 
709,Medico,Dentist, 8.0 
710,Especialista,General Medicine, 9.8 
711,Clinica,General Medicine, 8.0 
712,Hospital,Dentist, 8.0 
713,ONG,Homeopath, 9.8 
714,Otro,Dentist, 9.8 
715,Medico,Ayurveda, 8.0 
716,Especialista,General Medicine, 9.8 
717,Clinica,Dentist, 8.0 
718,Hospital,Ayurveda, 8.0 
719,ONG,Dermatologists, 10.0 
720,Otro,Dentist, 8.0 
721,Medico,Dermatologists, 9.9 
722,Especialista,Dermatologists, 8.9 
723,Clinica,Ayurveda, 8.8 
724,Hospital,Dermatologists, 8.0 
725,ONG,Dentist, 8.0 
726,Otro,General Medicine, 9.9 
727,Medico,General Medicine, 8.0 
728,Especialista,General Medicine, 9.5 
729,Clinica,Dermatologists, 8.0 
730,Hospital,Dentist, 8.0 
731,ONG,ENT Specialist, 10.0 
732,Otro,Dentist, 0.6 
733,Medico,Dermatologists, 8.0 
734,Especialista,ENT Specialist, 9.5 
735,Clinica,Ayurveda, 9.0 
736,Hospital,Ayurveda, 8.0 
737,ONG,General Medicine, 8.0 
738,Otro,Dentist, 8.8 
739,Medico,Ayurveda, 8.0 
740,Especialista,Homeopath, 8.0 
741,Clinica,ENT Specialist, 8.0 
742,Hospital,ENT Specialist, 8.0 
