Id,Tipo,Edad,Sexo,Especialidad,Pacientes,Casos
98,Especialista,36,H,Ayurveda,200,5110
99,Clinica,55,H,Dentist,1000,426
100,Hospital,34,H,Homeopath,200,1034
101,ONG,55,H,Dentist,500,1080
102,Otro,58,H,Dentist,200,556
103,Medico,46,H,Dentist,200,50
104,Especialista,53,H,Dentist,1000,439
105,Clinica,38,H,General Medicine,300,440
106,Hospital,69,H,ENT Specialist,1000,412
107,ONG,35,H,Dentist,350,393
108,Otro,55,H,Ayurveda,300,309
109,Medico,42,H,Dentist,300,1033
110,Especialista,62,H,General Medicine,250,343
111,Clinica,66,H,Ayurveda,1000,1097
112,Hospital,50,H,Dermatologists,1000,545
113,ONG,47,H,Dentist,500,333
114,Otro,33,H,Dentist,200,502
115,Medico,46,H,General Medicine,250,542
116,Especialista,66,H,Dentist,500,589
117,Clinica,53,H,Dermatologists,200,457
118,Hospital,37,H,Dentist,1000,1031
119,ONG,56,H,Ayurveda,250,302
120,Otro,54,H,Ayurveda,500,435
121,Medico,67,H,Homeopath,1050,3710
122,Especialista,54,H,Homeopath,1000,592
123,Clinica,50,H,Homeopath,500,3110
124,Hospital,65,H,ENT Specialist,200,108
125,ONG,33,H,Dermatologists,200,541
126,Otro,60,H,General Medicine,600,10108
127,Medico,36,H,Dentist,300,207
128,Especialista,61,H,General Medicine,300,9
129,Clinica,50,H,ENT Specialist,800,349
130,Hospital,42,H,Dermatologists,300,562
131,ONG,53,H,Dermatologists,1000,328
132,Otro,46,H,Dentist,800,243
133,Medico,40,H,Homeopath,200,555
134,Especialista,49,H,Dermatologists,350,499
135,Clinica,48,H,General Medicine,1000,258
136,Hospital,36,H,Dermatologists,200,532
137,ONG,38,H,Dermatologists,300,1069
138,Otro,54,H,General Medicine,500,1031
139,Medico,53,H,General Medicine,400,421
140,Especialista,58,H,ENT Specialist,1000,200
141,Clinica,49,H,General Medicine,500,279
142,Hospital,50,H,ENT Specialist,750,107
143,ONG,49,H,ENT Specialist,800,289
144,Otro,66,H,Homeopath,200,316
145,Medico,34,H,ENT Specialist,250,577
146,Especialista,30,H,Dermatologists,300,283
147,Clinica,66,H,ENT Specialist,800,386
148,Hospital,31,H,General Medicine,300,433
149,ONG,64,H,Dentist,1050,20
150,Otro,42,H,Homeopath,400,224
151,Medico,55,H,Dentist,1000,9
152,Especialista,65,H,Ayurveda,300,38
153,Clinica,59,H,Homeopath,200,1024
154,Hospital,52,H,Ayurveda,1000,402
155,ONG,61,H,Homeopath,300,1092
156,Otro,61,H,ENT Specialist,500,244
157,Medico,33,H,Dentist,500,1076
158,Especialista,45,H,Dentist,200,473
159,Clinica,35,H,ENT Specialist,300,104
160,Hospital,55,H,General Medicine,1000,94
161,ONG,68,H,Dentist,600,46
162,Otro,36,H,Ayurveda,1000,4
163,Medico,48,H,Dentist,300,2810
164,Especialista,35,H,Dermatologists,1050,447
165,Clinica,60,H,Dermatologists,400,240
166,Hospital,44,H,Dentist,500,290
167,ONG,34,H,Dentist,300,243
168,Otro,70,H,Ayurveda,200,339
169,Medico,48,H,General Medicine,1000,60
170,Especialista,55,H,General Medicine,400,318
171,Clinica,59,H,Homeopath,200,1047
172,Hospital,64,H,Ayurveda,200,483
173,ONG,60,H,ENT Specialist,300,1009
174,Otro,34,H,Dentist,1000,419
175,Medico,37,H,Homeopath,200,378
176,Especialista,41,H,Dentist,500,106
177,Clinica,38,H,General Medicine,1000,10
178,Hospital,61,H,Dermatologists,300,1086
179,ONG,55,H,Ayurveda,400,598
180,Otro,41,H,General Medicine,300,1061
181,Medico,44,H,Ayurveda,500,539
182,Especialista,52,H,Homeopath,1050,65
183,Clinica,56,H,General Medicine,600,285
184,Hospital,47,H,General Medicine,1000,48
185,ONG,47,H,Dentist,1000,1079
186,Otro,43,H,Dentist,1000,598
187,Medico,48,H,Dermatologists,1000,205
188,Especialista,62,H,ENT Specialist,300,552
189,Clinica,51,H,Dermatologists,800,204
190,Hospital,45,H,General Medicine,500,503
191,ONG,47,H,Dentist,250,266
192,Otro,37,H,Homeopath,200,52
193,Medico,31,H,Dermatologists,500,304
194,Especialista,52,H,Ayurveda,500,332
195,Clinica,67,H,ENT Specialist,300,475
196,Hospital,58,H,Dermatologists,600,246
197,ONG,60,H,Dentist,450,327
198,Otro,65,H,Homeopath,300,273
199,Medico,57,H,Ayurveda,400,561
200,Especialista,45,H,Ayurveda,1000,1050
201,Clinica,55,H,Ayurveda,250,409
202,Hospital,45,H,ENT Specialist,250,405
203,ONG,55,H,Ayurveda,700,309
204,Otro,46,H,ENT Specialist,1050,255
205,Medico,48,H,Dentist,300,447
206,Especialista,38,H,Dentist,500,493
207,Clinica,66,H,Dermatologists,80,382
208,Hospital,59,H,General Medicine,300,5710
209,ONG,51,H,General Medicine,50,75
210,Otro,46,H,Dentist,1000,557
211,Medico,69,H,Dentist,1000,1086
212,Especialista,56,H,Dermatologists,200,2010
213,Clinica,58,H,ENT Specialist,500,462
214,Hospital,37,H,Ayurveda,1000,304
215,ONG,69,H,Homeopath,50,82
216,Otro,56,H,Dermatologists,450,1077
217,Medico,43,H,Homeopath,300,475
218,Especialista,45,H,General Medicine,250,488
219,Clinica,51,H,Homeopath,1000,342
220,Hospital,49,H,Dentist,1000,407
221,ONG,63,H,ENT Specialist,200,206
222,Otro,54,H,Dermatologists,300,566
223,Medico,58,H,Dentist,800,425
224,Especialista,36,H,Homeopath,1000,345
225,Clinica,60,H,General Medicine,1000,499
226,Hospital,37,H,Homeopath,400,482
227,ONG,45,H,Dentist,700,246
228,Otro,66,H,General Medicine,1000,435
229,Medico,60,H,Homeopath,1000,1035
230,Especialista,40,H,Dentist,600,51
231,Clinica,68,H,Homeopath,200,21
232,Hospital,37,H,Homeopath,200,266
233,ONG,48,H,Ayurveda,1000,42
234,Otro,45,H,ENT Specialist,200,534
235,Medico,47,H,Dentist,500,1040
236,Especialista,65,H,General Medicine,200,261
237,Clinica,32,H,ENT Specialist,500,262
238,Hospital,59,H,Dermatologists,800,242
239,ONG,49,H,Dermatologists,400,73
240,Otro,50,H,Dentist,500,507
241,Medico,58,H,General Medicine,200,269
242,Especialista,51,H,Dentist,600,580
243,Clinica,61,H,General Medicine,500,2910
244,Hospital,57,H,General Medicine,500,10810
245,ONG,45,H,Dentist,1000,453
246,Otro,42,H,Homeopath,200,1099
247,Medico,40,H,ENT Specialist,1000,240
248,Especialista,47,H,Ayurveda,500,1025
249,Clinica,58,H,Homeopath,250,388
250,Hospital,66,H,Homeopath,200,278
251,ONG,42,H,ENT Specialist,60,103
252,Otro,65,H,General Medicine,500,297
253,Medico,46,H,Dermatologists,1000,83
254,Especialista,67,H,General Medicine,600,48
255,Clinica,31,H,Dentist,200,448
256,Hospital,52,H,Homeopath,300,259
257,ONG,35,H,ENT Specialist,350,1051
258,Otro,70,H,General Medicine,1000,290
259,Medico,30,H,Homeopath,400,1057
260,Especialista,47,H,ENT Specialist,300,578
261,Clinica,33,H,General Medicine,300,487
262,Hospital,62,H,ENT Specialist,400,1034
263,ONG,36,H,General Medicine,600,1027
264,Otro,55,H,ENT Specialist,300,594
265,Medico,34,H,Dermatologists,300,1033
266,Especialista,50,H,Dentist,500,438
267,Clinica,51,H,General Medicine,200,314
268,Hospital,46,H,Dermatologists,500,3
269,ONG,37,H,Dentist,200,394
270,Otro,68,H,Homeopath,200,490
271,Medico,49,H,Dentist,300,594
272,Especialista,67,H,ENT Specialist,550,527
273,Clinica,61,H,Homeopath,550,413
274,Hospital,41,H,Dentist,500,347
275,ONG,60,H,Dermatologists,200,1020
276,Otro,31,H,Dermatologists,900,434
277,Medico,61,H,Homeopath,500,1070
278,Especialista,63,H,Dermatologists,1000,285
279,Clinica,42,H,Homeopath,700,488
280,Hospital,45,H,Dentist,1050,475
281,ONG,66,H,ENT Specialist,200,209
282,Otro,67,H,ENT Specialist,700,94
283,Medico,43,H,General Medicine,300,542
284,Especialista,48,H,General Medicine,1050,479
285,Clinica,51,H,General Medicine,1050,1039
286,Hospital,51,H,Homeopath,400,1020
287,ONG,45,H,Ayurveda,300,1065
288,Otro,44,H,Dermatologists,1050,323
289,Medico,44,H,General Medicine,500,587
290,Especialista,34,H,Dentist,1000,476
291,Clinica,63,H,Dentist,200,352
292,Hospital,52,H,ENT Specialist,500,578
293,ONG,57,H,General Medicine,200,439
294,Otro,32,H,Ayurveda,950,20
295,Medico,43,H,Dermatologists,500,505
296,Especialista,70,H,Dentist,750,1075
297,Clinica,31,H,Dentist,200,512
298,Hospital,64,H,Dermatologists,1000,503
299,ONG,59,H,Homeopath,200,477
300,Otro,63,H,Dermatologists,250,69
301,Medico,54,H,Ayurveda,500,316
302,Especialista,48,H,Ayurveda,300,426
303,Clinica,62,H,Ayurveda,1000,284
304,Hospital,52,H,General Medicine,1000,366
305,ONG,32,H,Ayurveda,300,485
306,Otro,41,H,General Medicine,300,593
307,Medico,60,H,Dentist,300,95
308,Especialista,56,H,Homeopath,350,405
309,Clinica,69,H,ENT Specialist,200,484
310,Hospital,53,H,Dentist,600,332
311,ONG,37,H,General Medicine,200,422
312,Otro,60,H,Ayurveda,400,221
313,Medico,30,H,Homeopath,1000,2
314,Especialista,62,H,Ayurveda,450,488
315,Clinica,53,H,ENT Specialist,400,1076
316,Hospital,45,H,Dentist,600,523
317,ONG,52,H,Homeopath,1000,1033
318,Otro,37,H,General Medicine,200,265
319,Medico,64,H,ENT Specialist,200,514
320,Especialista,68,H,Homeopath,1000,3710
321,Clinica,64,H,General Medicine,1050,374
322,Hospital,54,H,Dermatologists,700,422
323,ONG,47,H,Dentist,1050,298
324,Otro,70,H,Ayurveda,200,327
325,Medico,45,H,General Medicine,600,224
326,Especialista,49,H,Homeopath,200,468
327,Clinica,61,H,General Medicine,500,51
328,Hospital,50,H,Dentist,300,334
329,ONG,59,H,ENT Specialist,200,536
330,Otro,36,H,Dermatologists,400,319
331,Medico,56,H,General Medicine,800,569
332,Especialista,66,H,ENT Specialist,400,330
333,Clinica,47,H,Dermatologists,300,10109
334,Hospital,69,H,Homeopath,400,354
335,ONG,31,H,Dermatologists,200,563
336,Otro,32,H,General Medicine,250,458
337,Medico,70,H,ENT Specialist,350,1006
338,Especialista,43,H,Dentist,300,261
339,Clinica,63,H,Homeopath,600,261
340,Hospital,38,H,Dentist,300,1026
341,ONG,31,H,ENT Specialist,200,215
342,Otro,31,H,Ayurveda,400,221
343,Medico,70,H,Homeopath,400,258
344,Especialista,34,H,General Medicine,350,247
345,Clinica,32,H,ENT Specialist,1050,1089
346,Hospital,30,H,Dermatologists,500,2010
347,ONG,44,H,General Medicine,600,327
348,Otro,58,H,Ayurveda,200,547
349,Medico,62,H,Dermatologists,300,480
350,Especialista,62,H,Dermatologists,350,543
351,Clinica,54,H,Dentist,1000,443
352,Hospital,69,H,Dermatologists,1000,586
353,ONG,39,H,General Medicine,300,1065
354,Otro,70,H,General Medicine,500,292
355,Medico,31,H,Dentist,400,361
356,Especialista,37,H,Homeopath,500,498
357,Clinica,70,H,Ayurveda,60,1090
358,Hospital,30,H,Ayurveda,400,451
359,ONG,41,H,Homeopath,1000,509
360,Otro,50,H,Dentist,300,1069
361,Medico,51,H,Dermatologists,1000,20
362,Especialista,32,H,Dentist,1000,224
363,Clinica,38,H,Dentist,200,290
364,Hospital,61,H,Dentist,1000,9
365,ONG,31,H,Dermatologists,300,44
366,Otro,34,H,Homeopath,200,289
367,Medico,59,H,Dermatologists,300,459
368,Especialista,67,H,ENT Specialist,300,538
369,Clinica,68,H,General Medicine,500,470
370,Hospital,43,H,Dermatologists,1000,215
371,ONG,63,H,Dentist,400,455
372,Otro,44,H,ENT Specialist,200,1021
373,Medico,31,H,Ayurveda,1000,210
374,Especialista,32,H,Ayurveda,1000,1076
375,Clinica,63,H,Ayurveda,300,251
376,Hospital,56,H,General Medicine,1000,364
377,ONG,70,H,ENT Specialist,1000,249
378,Otro,47,H,Ayurveda,400,531
379,Medico,52,H,Dentist,300,227
380,Especialista,67,H,ENT Specialist,1000,551
381,Clinica,33,H,Ayurveda,1000,10
382,Hospital,69,H,Homeopath,1050,260
383,ONG,52,H,Dentist,500,0
384,Otro,30,H,Homeopath,1000,1066
385,Medico,48,H,Dermatologists,600,103
386,Especialista,64,H,Dermatologists,1000,456
387,Clinica,30,H,Dentist,600,10109
388,Hospital,37,H,General Medicine,500,413
389,ONG,70,H,General Medicine,1000,90
390,Otro,48,H,General Medicine,1000,87
391,Medico,34,H,General Medicine,1000,518
392,Especialista,41,H,General Medicine,1000,388
393,Clinica,49,H,ENT Specialist,1000,430
394,Hospital,46,H,Dermatologists,500,1078
395,ONG,59,H,Ayurveda,200,324
396,Otro,33,H,Dermatologists,1000,424
397,Medico,42,H,General Medicine,600,1022
398,Especialista,63,H,Ayurveda,400,280
399,Clinica,68,H,Dentist,250,527
400,Hospital,41,H,Ayurveda,1050,269
401,ONG,48,H,Dentist,500,252
402,Otro,38,H,Dentist,500,214
403,Medico,64,H,Homeopath,200,29
404,Especialista,30,H,Ayurveda,500,227
405,Clinica,50,H,General Medicine,200,520
406,Hospital,42,H,Dermatologists,430,70
407,ONG,34,H,Homeopath,600,1029
408,Otro,68,H,Ayurveda,1000,68
409,Medico,56,H,Dentist,80,1077
410,Especialista,38,H,Dentist,1000,86
411,Clinica,46,H,ENT Specialist,200,516
412,Hospital,39,H,Dentist,1000,1024
413,ONG,56,H,Dentist,500,297
414,Otro,51,H,ENT Specialist,1050,402
415,Medico,54,H,Dermatologists,1050,373
416,Especialista,56,H,Ayurveda,1000,450
417,Clinica,58,H,Dermatologists,1000,1098
418,Hospital,68,H,General Medicine,1000,561
419,ONG,47,H,Dermatologists,700,3910
420,Otro,66,H,General Medicine,800,1030
421,Medico,46,H,Homeopath,1000,475
422,Especialista,51,H,Dentist,50,1054
423,Clinica,47,H,Dermatologists,200,40
424,Hospital,63,H,General Medicine,250,3810
425,ONG,44,H,General Medicine,1000,328
426,Otro,51,H,Ayurveda,500,74
427,Medico,51,H,General Medicine,250,266
428,Especialista,70,H,Dermatologists,1000,84
429,Clinica,59,H,General Medicine,400,446
430,Hospital,49,H,Dentist,600,545
431,ONG,30,H,Dermatologists,200,367
432,Otro,42,H,General Medicine,500,45
433,Medico,59,H,Dermatologists,300,340
434,Especialista,47,H,Dentist,600,58
435,Clinica,45,H,Dentist,300,420
436,Hospital,63,H,Ayurveda,300,426
437,ONG,65,H,General Medicine,300,309
438,Otro,49,H,ENT Specialist,1000,3110
439,Medico,51,H,Dermatologists,300,207
440,Especialista,62,H,Dentist,350,213
441,Clinica,32,H,General Medicine,500,569
442,Hospital,68,H,Dentist,1050,232
443,ONG,54,H,Ayurveda,200,279
444,Otro,57,H,Homeopath,300,256
445,Medico,42,H,ENT Specialist,700,330
446,Especialista,31,H,General Medicine,350,317
447,Clinica,42,H,Homeopath,250,1067
448,Hospital,70,H,Dentist,1000,240
449,ONG,35,H,General Medicine,300,518
450,Otro,56,H,General Medicine,400,1006
451,Medico,51,H,General Medicine,500,325
452,Especialista,68,H,Dentist,400,418
453,Clinica,47,H,General Medicine,1000,477
454,Hospital,48,H,General Medicine,500,317
455,ONG,62,H,Ayurveda,1000,1063
456,Otro,38,H,General Medicine,1050,378
457,Medico,50,H,Dentist,600,265
458,Especialista,55,H,Dentist,500,217
459,Clinica,62,H,ENT Specialist,400,532
460,Hospital,55,H,Dentist,300,69
461,ONG,50,H,ENT Specialist,1000,9
462,Otro,30,H,General Medicine,250,3110
463,Medico,44,H,General Medicine,1050,2110
464,Especialista,47,H,General Medicine,500,323
465,Clinica,52,H,Dermatologists,50,212
466,Hospital,31,H,Dentist,1000,386
467,ONG,32,H,Dentist,250,297
468,Otro,48,H,Dentist,200,1096
469,Medico,68,H,General Medicine,1000,306
470,Especialista,70,H,General Medicine,300,541
471,Clinica,33,H,Dermatologists,400,397
472,Hospital,53,H,Dermatologists,200,1092
473,ONG,64,H,Dentist,500,399
474,Otro,68,H,Homeopath,250,1072
475,Medico,48,H,Ayurveda,1000,515
476,Especialista,35,H,Homeopath,300,428
477,Clinica,65,H,Dentist,200,500
478,Hospital,43,H,Dermatologists,300,477
479,ONG,47,H,Ayurveda,1000,212
480,Otro,58,H,General Medicine,200,404
481,Medico,60,H,Ayurveda,250,292
482,Especialista,37,H,ENT Specialist,350,242
483,Clinica,54,H,Dermatologists,300,98
484,Hospital,69,H,Dentist,300,292
485,ONG,53,H,Ayurveda,200,261
486,Otro,43,H,Homeopath,200,452
487,Medico,31,H,Homeopath,250,2110
488,Especialista,56,H,Homeopath,500,387
489,Clinica,42,H,Homeopath,200,568
490,Hospital,31,H,General Medicine,1000,414
491,ONG,55,H,Dentist,400,22
492,Otro,30,H,General Medicine,1000,477
493,Medico,64,H,Dentist,1000,327
494,Especialista,42,H,Homeopath,1000,508
495,Clinica,37,H,Dentist,1000,309
496,Hospital,51,H,Dentist,250,5010
497,ONG,55,H,ENT Specialist,300,315
498,Otro,48,H,Ayurveda,550,1008
499,Medico,50,H,Dentist,1000,249
500,Especialista,36,H,Homeopath,1000,1008
501,Clinica,47,H,General Medicine,50,56
502,Hospital,41,H,Dermatologists,200,243
503,ONG,58,H,ENT Specialist,1000,1051
504,Otro,69,H,ENT Specialist,250,44
505,Medico,31,H,General Medicine,450,416
506,Especialista,50,H,Dentist,400,545
507,Clinica,41,H,Dermatologists,500,305
508,Hospital,48,H,Dermatologists,500,334
509,ONG,33,H,Ayurveda,1000,352
510,Otro,69,H,Dentist,300,455
511,Medico,43,H,General Medicine,250,525
512,Especialista,58,H,Homeopath,1000,438
513,Clinica,40,H,Homeopath,1000,1084
514,Hospital,56,H,Ayurveda,300,1025
515,ONG,30,H,General Medicine,400,428
516,Otro,67,H,Dentist,1000,358
517,Medico,60,H,Homeopath,200,1059
518,Especialista,54,H,General Medicine,500,440
519,Clinica,40,H,Dentist,1000,469
520,Hospital,34,H,ENT Specialist,1000,1023
521,ONG,38,H,Dentist,500,482
522,Otro,49,H,Homeopath,200,252
523,Medico,60,H,Homeopath,1000,239
524,Especialista,41,H,ENT Specialist,1000,1057
525,Clinica,33,H,General Medicine,1000,273
526,Hospital,38,H,Dermatologists,250,389
527,ONG,59,H,Dentist,400,500
528,Otro,35,H,General Medicine,200,258
529,Medico,53,H,ENT Specialist,300,227
530,Especialista,54,H,Dermatologists,600,41
531,Clinica,51,H,Dentist,500,419
532,Hospital,66,H,Dentist,300,553
533,ONG,47,H,General Medicine,500,494
534,Otro,61,H,General Medicine,300,5110
535,Medico,37,H,ENT Specialist,1050,321
536,Especialista,32,H,Dermatologists,250,495
537,Clinica,50,H,Dermatologists,500,234
538,Hospital,67,H,Dentist,700,503
539,ONG,41,H,ENT Specialist,1000,330
540,Otro,58,H,Homeopath,350,1039
541,Medico,51,H,Dentist,450,534
542,Especialista,33,H,Dentist,1000,270
543,Clinica,42,H,Ayurveda,200,555
544,Hospital,55,H,Dermatologists,300,1074
545,ONG,45,H,Dentist,400,1022
546,Otro,69,H,Ayurveda,200,1065
547,Medico,41,H,Dermatologists,500,363
548,Especialista,47,H,ENT Specialist,1050,86
549,Clinica,55,H,Ayurveda,700,242
550,Hospital,36,H,General Medicine,1000,432
551,ONG,60,H,Homeopath,1000,1004
552,Otro,48,H,Dentist,500,234
553,Medico,52,H,Ayurveda,450,573
554,Especialista,63,H,Dermatologists,500,468
555,Clinica,54,H,Dentist,400,43
556,Hospital,40,H,ENT Specialist,1000,1024
557,ONG,67,H,General Medicine,350,1075
558,Otro,40,H,General Medicine,600,452
559,Medico,69,H,Dentist,800,460
560,Especialista,45,H,Dermatologists,200,1065
561,Clinica,54,H,General Medicine,1000,402
562,Hospital,68,H,ENT Specialist,1000,24
563,ONG,35,H,Ayurveda,300,99
564,Otro,49,H,Dermatologists,1000,1031
565,Medico,70,H,General Medicine,300,10106
566,Especialista,53,H,Dermatologists,1000,1063
567,Clinica,46,H,Ayurveda,400,1030
568,Hospital,69,H,Dermatologists,500,418
569,ONG,70,H,Homeopath,500,100
570,Otro,47,H,ENT Specialist,450,8
571,Medico,45,H,Dentist,1050,394
572,Especialista,44,H,Homeopath,300,1062
573,Clinica,48,H,Homeopath,300,296
574,Hospital,35,H,Dermatologists,250,59
575,ONG,55,H,Homeopath,600,497
576,Otro,39,H,Dentist,300,1065
577,Medico,55,H,General Medicine,300,21
578,Especialista,69,H,Dentist,200,61
579,Clinica,30,H,ENT Specialist,200,93
580,Hospital,65,H,ENT Specialist,800,10810
581,ONG,34,H,Dentist,600,1043
582,Otro,70,H,Dentist,1050,384
583,Medico,59,H,Homeopath,1000,5810
584,Especialista,30,H,General Medicine,300,459
585,Clinica,41,H,General Medicine,500,399
586,Hospital,41,H,Dentist,250,321
587,ONG,48,H,Dentist,1000,65
588,Otro,69,H,ENT Specialist,300,366
589,Medico,64,H,ENT Specialist,800,1066
590,Especialista,67,H,General Medicine,400,97
591,Clinica,65,H,General Medicine,200,357
592,Hospital,61,H,Dentist,500,35
593,ONG,47,H,Ayurveda,1000,277
594,Otro,65,H,Dentist,200,290
595,Medico,33,H,Dermatologists,1000,1067
596,Especialista,68,H,General Medicine,500,502
597,Clinica,56,H,General Medicine,500,479
598,Hospital,41,H,General Medicine,400,83
599,ONG,40,H,Dermatologists,1000,810
600,Otro,31,H,Ayurveda,1000,243
601,Medico,45,H,Dermatologists,300,509
602,Especialista,44,H,Homeopath,400,26
603,Clinica,35,H,Dentist,1000,303
604,Hospital,41,H,Dentist,200,459
605,ONG,35,H,Dermatologists,300,337
606,Otro,65,H,General Medicine,1000,561
607,Medico,37,H,Ayurveda,250,576
608,Especialista,36,H,General Medicine,250,55
609,Clinica,64,H,Dentist,350,1083
610,Hospital,40,H,Dentist,300,341
611,ONG,32,H,General Medicine,1000,73
612,Otro,40,H,Homeopath,1000,341
613,Medico,47,H,Ayurveda,300,480
614,Especialista,39,H,ENT Specialist,200,437
615,Clinica,64,H,Dentist,50,413
616,Hospital,65,H,Dermatologists,500,275
617,ONG,30,H,Dentist,700,226
618,Otro,61,H,Dermatologists,200,10106
619,Medico,40,H,Homeopath,350,273
620,Especialista,61,H,Homeopath,200,8
621,Clinica,46,H,Dermatologists,500,463
622,Hospital,68,H,General Medicine,500,3710
623,ONG,57,H,Dermatologists,500,3810
624,Otro,31,H,Dentist,250,536
625,Medico,66,H,Dentist,200,250
626,Especialista,41,H,Dentist,200,402
627,Clinica,39,H,Homeopath,200,552
628,Hospital,48,H,ENT Specialist,500,270
629,ONG,51,H,Homeopath,500,336
630,Otro,60,H,Dentist,200,295
631,Medico,46,H,General Medicine,500,524
632,Especialista,39,H,Dermatologists,300,274
633,Clinica,57,H,Dentist,500,1000
634,Hospital,51,H,Ayurveda,400,378
635,ONG,44,H,General Medicine,250,593
636,Otro,36,H,Dentist,1030,575
637,Medico,51,H,Ayurveda,350,1028
638,Especialista,36,H,Dentist,1000,1078
639,Clinica,57,H,General Medicine,200,214
640,Hospital,35,H,Ayurveda,800,469
641,ONG,42,H,ENT Specialist,1000,441
642,Otro,35,H,Dentist,300,578
643,Medico,39,H,Dentist,500,277
644,Especialista,65,H,General Medicine,200,37
645,Clinica,44,H,Ayurveda,800,470
646,Hospital,70,H,Dentist,500,263
647,ONG,36,H,Dermatologists,200,460
648,Otro,57,H,Dermatologists,250,100
649,Medico,65,H,ENT Specialist,500,298
650,Especialista,65,H,General Medicine,500,390
651,Clinica,37,H,Ayurveda,300,248
652,Hospital,56,H,Homeopath,500,1044
653,ONG,61,H,Dermatologists,750,380
654,Otro,55,H,ENT Specialist,500,552
655,Medico,34,H,Dermatologists,200,475
656,Especialista,55,H,ENT Specialist,250,435
